District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,49.0,97.96,4.80004
Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,81.0,37.04,3.00024
Hà Đông,Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,37.0,116.22,4.300140000000001
Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,61.0,116.39,7.09979
Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,95.0,2.85
Bắc Từ Liêm,Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,35.0,62.86,2.2001
Hai Bà Trưng,Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,23.0,82.61,1.9000299999999999
Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,33.0,77.27,2.5499099999999997
Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,40.0,140.0,5.6
Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,48.0,45.83,2.19984
Tây Hồ,Thụy Khuê,Nhà biệt thự,Đã có sổ,5.0,6.0,92.0,146.74,13.500080000000002
Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,27.0,85.19,2.3001300000000002
Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,6.0,4.0,30.0,91.67,2.7500999999999998
Bắc Từ Liêm,Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,55.0,50.91,2.8000499999999997
Hoàng Mai,Tân Mai,Nhà phố liền kề,Đã có sổ,3.0,3.0,48.0,65.63,3.1502399999999997
Cầu Giấy,Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,3.0,47.0,102.13,4.80011
Thanh Xuân,Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,37.0,83.78,3.09986
Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,43.0,90.7,3.9001
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,40.0,97.5,3.9
Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,35.0,97.14,3.3999
Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,46.0,63.04,2.89984
Ba Đình,Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,85.0,108.24,9.2004
Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,56.0,81.25,4.55
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,42.0,140.48,5.90016
Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,25.0,82.0,2.05
Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,75.0,2.25
Nam Từ Liêm,Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,36.0,73.61,2.64996
Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,36.0,144.44,5.19984
Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,35.0,100.0,3.5
Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,5.0,55.0,125.45,6.89975
Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,1.0,3.0,44.0,56.82,2.50008
Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,95.0,2.85
Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,37.0,67.57,2.5000899999999997
Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,6.0,10.0,56.0,130.36,7.300160000000001
Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4.0,2.0,30.2,81.67,2.466434
Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,32.0,109.38,3.5001599999999997
Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,40.0,100.0,4.0
Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,71.67,2.1501
Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,48.0,68.75,3.3
